"Timestamp","Monday 10 to 12","Monday 11 to 1","Monday 12 to 2","Monday 1 to 3","Monday 2 to 4","Tuesday 12 to 2"
"2019/04/04 12:32:30 PM MDT","","","I can make it!","I can make it!","","I can make it!"
"2019/04/04 12:32:37 PM MDT","I can make it!","I can make it!","I can make it!","I can make it!","I can make it!","I can make it!"
"2019/04/04 12:39:57 PM MDT","","","","","","I can make it!"
"2019/04/04 1:13:54 PM MDT","","","","","","I can make it!"
"2019/04/04 1:47:13 PM MDT","","","I can make it!","I can make it!","",""
"2019/04/04 2:23:17 PM MDT","","","I can make it!","I can make it!","I can make it!","I can make it!"
"2019/04/04 2:26:19 PM MDT","I can make it!","","","","I can make it!","I can make it!"
"2019/04/04 3:39:00 PM MDT","","","I can make it!","I can make it!","I can make it!","I can make it!"
"2019/04/04 3:39:09 PM MDT","","","","","I can make it!",""
"2019/04/04 3:39:12 PM MDT","","","","","","I can make it!"
"2019/04/04 3:39:25 PM MDT","","","","","",""
"2019/04/04 3:39:33 PM MDT","","","","I can make it!","I can make it!","I can make it!"
"2019/04/04 3:39:43 PM MDT","","","","","",""
"2019/04/04 3:39:59 PM MDT","I can make it!","I can make it!","I can make it!","","","I can make it!"
"2019/04/04 3:40:08 PM MDT","","I can make it!","I can make it!","","","I can make it!"
"2019/04/04 3:40:09 PM MDT","I can make it!","I can make it!","I can make it!","","","I can make it!"
"2019/04/04 3:40:10 PM MDT","","I can make it!","I can make it!","I can make it!","I can make it!","I can make it!"
"2019/04/04 3:40:17 PM MDT","","","I can make it!","","","I can make it!"
"2019/04/04 3:40:30 PM MDT","I can make it!","","I can make it!","","","I can make it!"
"2019/04/04 3:40:35 PM MDT","","","I can make it!","","","I can make it!"
"2019/04/04 3:40:46 PM MDT","I can make it!","I can make it!","I can make it!","","","I can make it!"
"2019/04/04 3:40:47 PM MDT","I can make it!","I can make it!","I can make it!","","",""
"2019/04/04 3:40:53 PM MDT","","","I can make it!","","","I can make it!"
"2019/04/04 3:41:01 PM MDT","I can make it!","I can make it!","I can make it!","","","I can make it!"
"2019/04/04 3:41:25 PM MDT","I can make it!","I can make it!","I can make it!","","","I can make it!"
"2019/04/04 3:41:47 PM MDT","","I can make it!","","","","I can make it!"
"2019/04/04 3:42:20 PM MDT","I can make it!","I can make it!","I can make it!","I can make it!","I can make it!",""